Date,Price,Open,High,Low,Vol.,Change %
1-Feb-17,56.8,55.55,56.83,55.36,301.24K,1.97
31-Jan-17,55.7,55.25,56,54.9,28.80K,0.85
30-Jan-17,55.23,55.47,55.7,54.97,104.90K,-0.52
27-Jan-17,55.52,56.09,56.5,54.86,142.07K,-1.28
26-Jan-17,56.24,55.39,56.55,55.21,265.72K,2.11
25-Jan-17,55.08,55.24,55.65,54.75,275.73K,-0.65
24-Jan-17,55.44,55.42,55.87,55.07,254.89K,0.38
23-Jan-17,55.23,55.7,55.75,54.65,305.85K,-0.47
20-Jan-17,55.49,54.33,55.8,54.18,293.54K,2.46
19-Jan-17,54.16,54.29,54.77,53.9,346.87K,0.45
18-Jan-17,53.92,55.48,55.9,53.77,360.15K,-2.79
17-Jan-17,55.47,55.74,56.95,55.4,335.73K,-0.7
16-Jan-17,55.86,55.64,55.92,55.19,112.58K,0.74
13-Jan-17,55.45,56,56.21,55.28,247.09K,-1
12-Jan-17,56.01,55.19,56.43,55.01,331.63K,1.65
11-Jan-17,55.1,53.8,55.67,53.7,419.90K,2.72
10-Jan-17,53.64,54.95,55.36,53.58,332.98K,-2.37
9-Jan-17,54.94,56.81,57,54.74,266.39K,-3.78
6-Jan-17,57.1,56.88,57.47,56.28,234.87K,0.37
5-Jan-17,56.89,56.35,57.35,56.01,269.61K,0.76
4-Jan-17,56.46,55.73,56.55,55.33,282.55K,1.78
3-Jan-17,55.47,57.05,58.37,55.3,340.82K,-2.38
30-Dec-16,56.82,57,57.2,56.46,129.10K,1.21
29-Dec-16,56.14,56.01,56.63,55.91,49.08K,-0.14
28-Dec-16,56.22,56.06,56.56,55.89,109.91K,0.23
27-Dec-16,56.09,55.18,57.15,55.04,67.84K,1.69
23-Dec-16,55.16,54.84,55.25,54.26,104.09K,0.2
22-Dec-16,55.05,54.55,55.23,54.05,194.66K,1.08
21-Dec-16,54.46,55.52,55.87,54.32,277.73K,-1.61
20-Dec-16,55.35,55.02,55.92,54.75,257.02K,0.78
19-Dec-16,54.92,55.4,55.8,54.69,228.39K,-0.53
16-Dec-16,55.21,54.11,55.38,53.71,229.19K,2.2
